,Property,Value,Group,Cohort,Level
430,Node,13.0,CRC,ZellerG_2014,phylum
431,Edge,29.0,CRC,ZellerG_2014,phylum
432,density,0.475,CRC,ZellerG_2014,phylum
433,transitivity,0.6555269922879178,CRC,ZellerG_2014,phylum
434,algebraic_connectivity,0.8677232830296598,CRC,ZellerG_2014,phylum
435,assortativity,-0.46319040887911717,CRC,ZellerG_2014,phylum
436,Node,16.0,CRC,ZellerG_2014,phylum
437,Edge,57.0,CRC,ZellerG_2014,phylum
438,density,0.5151515151515151,CRC,ZellerG_2014,phylum
439,transitivity,0.5342465753424658,CRC,ZellerG_2014,phylum
440,algebraic_connectivity,1.00000000000001,CRC,ZellerG_2014,phylum
441,assortativity,-0.5123966942148749,CRC,ZellerG_2014,phylum
442,Node,12.0,CRC,ZellerG_2014,phylum
443,Edge,34.0,CRC,ZellerG_2014,phylum
444,density,0.3939393939393939,control,ZellerG_2014,phylum
445,transitivity,0.46875,control,ZellerG_2014,phylum
446,algebraic_connectivity,0.7743103103563369,control,ZellerG_2014,phylum
447,assortativity,-0.5565179416260291,control,ZellerG_2014,phylum
448,Node,12.0,control,ZellerG_2014,phylum
449,Edge,26.0,control,ZellerG_2014,phylum
450,density,0.45454545454545453,control,ZellerG_2014,phylum
451,transitivity,0.4326923076923077,control,ZellerG_2014,phylum
452,algebraic_connectivity,0.8008429749604571,control,ZellerG_2014,phylum
453,assortativity,-0.4419956405909417,control,ZellerG_2014,phylum
454,Node,12.0,control,ZellerG_2014,phylum
455,Edge,30.0,control,ZellerG_2014,phylum
456,density,0.46153846153846156,control,ZellerG_2014,phylum
457,transitivity,0.5698324022346368,control,ZellerG_2014,phylum
458,algebraic_connectivity,0.8891577929862305,control,ZellerG_2014,phylum
459,assortativity,-0.4658139607257334,control,ZellerG_2014,phylum
460,Node,13.0,control,ZellerG_2014,phylum
461,Edge,36.0,control,ZellerG_2014,phylum
462,density,0.41025641025641024,control,ZellerG_2014,phylum
463,transitivity,0.3684210526315789,control,ZellerG_2014,phylum
464,algebraic_connectivity,0.8505651274531506,control,ZellerG_2014,phylum
