,Events,Cohort,Group,Bases
315,248,YuJ_2015,CRC,4993945911.0
316,1453,YuJ_2015,control,5690446732.0
317,413,YuJ_2015,control,5584524714.0
318,416,YuJ_2015,CRC,6469426091.0
319,1201,YuJ_2015,CRC,5787105961.0
320,228,YuJ_2015,CRC,6222135039.0
321,111,VogtmannE_2016,control,5793273464.0
322,58,VogtmannE_2016,CRC,3764480856.0
323,127,VogtmannE_2016,control,5325670657.0
324,89,VogtmannE_2016,control,4746633428.0
325,58,VogtmannE_2016,control,6486653317.0
326,114,VogtmannE_2016,CRC,5697551532.0
327,82,VogtmannE_2016,CRC,5720982232.0
328,34,VogtmannE_2016,control,5165640049.0
329,34,VogtmannE_2016,CRC,4238286126.0
330,48,VogtmannE_2016,control,5337802561.0
331,77,VogtmannE_2016,CRC,6044911124.0
332,83,VogtmannE_2016,CRC,5623913419.0
333,44,VogtmannE_2016,control,4567726128.0
334,29,VogtmannE_2016,control,3665192704.0
335,0,VogtmannE_2016,CRC,351027527.0
336,63,VogtmannE_2016,CRC,7473988352.0
337,83,VogtmannE_2016,CRC,6384855556.0
338,111,VogtmannE_2016,CRC,6093136794.0
339,61,VogtmannE_2016,CRC,4035015942.0
340,38,VogtmannE_2016,CRC,4190960110.0
341,63,VogtmannE_2016,CRC,5032904033.0
342,79,VogtmannE_2016,control,4367662855.0
343,12,VogtmannE_2016,control,3731748843.0
344,66,VogtmannE_2016,control,5628908369.0
345,38,VogtmannE_2016,control,5572277177.0
346,25,VogtmannE_2016,control,3908205455.0
347,39,VogtmannE_2016,CRC,6063509780.0
348,80,VogtmannE_2016,control,7768037598.0
349,63,VogtmannE_2016,CRC,5988805029.0
350,67,VogtmannE_2016,control,5570729597.0
351,19,VogtmannE_2016,CRC,4085910732.0
352,63,VogtmannE_2016,control,5699453439.0
353,45,VogtmannE_2016,CRC,6241970109.0
354,48,VogtmannE_2016,CRC,5552253678.0
355,76,VogtmannE_2016,CRC,5657915436.0
356,45,VogtmannE_2016,CRC,4661241979.0
357,82,VogtmannE_2016,control,6082232011.0
358,118,VogtmannE_2016,CRC,8365936200.0
359,54,VogtmannE_2016,CRC,6671604868.0
360,53,VogtmannE_2016,control,5259440959.0
361,93,VogtmannE_2016,control,5212757345.0
362,71,VogtmannE_2016,control,6292002235.0
363,30,VogtmannE_2016,CRC,4060847857.0
364,31,VogtmannE_2016,CRC,3741842627.0
365,86,VogtmannE_2016,control,4658583485.0
366,63,VogtmannE_2016,control,6063034193.0
367,149,VogtmannE_2016,CRC,6219484929.0
368,55,VogtmannE_2016,control,6218351585.0
369,88,VogtmannE_2016,control,6285843246.0
370,86,VogtmannE_2016,control,5328950598.0
371,55,VogtmannE_2016,control,5557432761.0
372,108,VogtmannE_2016,control,5859991267.0
373,19,VogtmannE_2016,control,4082068611.0
374,80,VogtmannE_2016,CRC,4185665260.0
375,38,VogtmannE_2016,CRC,6496395167.0
376,130,VogtmannE_2016,CRC,7111161104.0
377,24,VogtmannE_2016,CRC,3816468984.0
378,97,VogtmannE_2016,CRC,5352675319.0
379,107,VogtmannE_2016,CRC,8347390931.0
380,106,VogtmannE_2016,control,6102492593.0
381,79,VogtmannE_2016,CRC,5982293477.0
382,84,VogtmannE_2016,CRC,6848280508.0
383,79,VogtmannE_2016,control,6032135552.0
384,35,VogtmannE_2016,control,4649737800.0
385,70,VogtmannE_2016,CRC,6279219480.0
386,128,VogtmannE_2016,control,6317074880.0
387,52,VogtmannE_2016,CRC,5498902077.0
388,33,VogtmannE_2016,control,5863306918.0
389,81,VogtmannE_2016,control,5554857561.0
390,55,VogtmannE_2016,CRC,5623135530.0
391,33,VogtmannE_2016,CRC,4201649457.0
392,86,VogtmannE_2016,control,6583392217.0
393,49,VogtmannE_2016,CRC,5395765960.0
394,89,VogtmannE_2016,control,5837169628.0
395,98,VogtmannE_2016,control,7252089612.0
396,115,VogtmannE_2016,CRC,6862241842.0
397,75,VogtmannE_2016,control,6225130657.0
