,Microhomology,Group
1220,18,HGT_Junction
1221,10,Expected
1222,0,HGT_Junction
1223,4,Expected
1224,1,HGT_Junction
1225,8,Expected
1226,1,HGT_Junction
1227,0,Expected
1228,0,HGT_Junction
1229,0,Expected
1230,7,HGT_Junction
1231,3,Expected
1232,4,HGT_Junction
1233,6,Expected
1234,10,HGT_Junction
1235,1,Expected
1236,2,HGT_Junction
1237,0,Expected
1238,2,HGT_Junction
1239,0,Expected
1240,0,HGT_Junction
1241,1,Expected
1242,1,HGT_Junction
1243,0,Expected
1244,1,HGT_Junction
1245,9,Expected
1246,1,HGT_Junction
1247,0,Expected
1248,9,HGT_Junction
1249,1,Expected
1250,1,HGT_Junction
1251,1,Expected
1252,1,HGT_Junction
1253,1,Expected
1254,3,HGT_Junction
1255,2,Expected
1256,10,HGT_Junction
1257,0,Expected
1258,3,HGT_Junction
1259,1,Expected
1260,2,HGT_Junction
1261,1,Expected
1262,0,HGT_Junction
1263,0,Expected
1264,1,HGT_Junction
1265,1,Expected
1266,15,HGT_Junction
1267,8,Expected
1268,15,HGT_Junction
1269,1,Expected
1270,0,HGT_Junction
1271,10,Expected
1272,0,HGT_Junction
1273,1,Expected
1274,1,HGT_Junction
1275,2,Expected
1276,0,HGT_Junction
1277,1,Expected
1278,0,HGT_Junction
1279,2,Expected
1280,0,HGT_Junction
1281,0,Expected
1282,2,HGT_Junction
1283,1,Expected
1284,2,HGT_Junction
1285,3,Expected
1286,2,HGT_Junction
1287,4,Expected
1288,20,HGT_Junction
1289,1,Expected
1290,1,HGT_Junction
1291,1,Expected
1292,1,HGT_Junction
1293,2,Expected
1294,1,HGT_Junction
1295,0,Expected
1296,1,HGT_Junction
1297,3,Expected
1298,1,HGT_Junction
1299,2,Expected
1300,4,HGT_Junction
1301,0,Expected
1302,1,HGT_Junction
1303,7,Expected
1304,0,HGT_Junction
1305,1,Expected
1306,1,HGT_Junction
1307,0,Expected
1308,20,HGT_Junction
1309,0,Expected
1310,1,HGT_Junction
1311,4,Expected
1312,1,HGT_Junction
1313,2,Expected
1314,7,HGT_Junction
1315,0,Expected
1316,1,HGT_Junction
1317,4,Expected
1318,1,HGT_Junction
1319,3,Expected
1320,11,HGT_Junction
1321,0,Expected
1322,0,HGT_Junction
1323,1,Expected
1324,1,HGT_Junction
1325,1,Expected
1326,2,HGT_Junction
1327,2,Expected
1328,1,HGT_Junction
1329,12,Expected
1330,1,HGT_Junction
1331,1,Expected
1332,8,HGT_Junction
1333,15,Expected
1334,0,HGT_Junction
1335,1,Expected
1336,4,HGT_Junction
1337,0,Expected
1338,0,HGT_Junction
1339,1,Expected
1340,0,HGT_Junction
1341,1,Expected
1342,9,HGT_Junction
1343,1,Expected
1344,1,HGT_Junction
1345,0,Expected
1346,1,HGT_Junction
1347,2,Expected
1348,8,HGT_Junction
1349,0,Expected
1350,1,HGT_Junction
1351,1,Expected
1352,0,HGT_Junction
1353,6,Expected
1354,0,HGT_Junction
1355,1,Expected
1356,2,HGT_Junction
1357,0,Expected
