	sample	HGT_count	level	group
1183	214	238	2	CRC
1184	201	218	2	control
1185	202	218	2	control
1186	203	218	2	control
1187	204	218	2	control
1188	215	238	2	CRC
1189	205	218	2	control
1190	216	238	2	CRC
1191	217	238	2	CRC
1192	206	218	2	control
1193	218	238	2	CRC
1194	219	238	2	CRC
1195	207	218	2	control
1196	208	218	2	control
1197	209	218	2	control
1198	220	238	2	CRC
1199	210	218	2	control
1200	211	218	2	control
1201	212	218	2	control
1202	213	218	2	control
1203	221	238	2	CRC
1204	214	218	2	control
1205	215	218	2	control
1206	216	218	2	control
1207	217	218	2	control
1208	222	238	2	CRC
1209	223	239	2	CRC
1210	218	218	2	control
1211	224	239	2	CRC
1212	225	239	2	CRC
1213	219	218	2	control
1214	220	220	2	control
1215	226	239	2	CRC
1216	227	239	2	CRC
1217	221	220	2	control
1218	228	239	2	CRC
1219	229	239	2	CRC
1220	222	220	2	control
1221	230	239	2	CRC
1222	231	239	2	CRC
1223	223	220	2	control
1224	224	220	2	control
1225	232	239	2	CRC
1226	225	220	2	control
1227	226	220	2	control
1228	233	240	2	CRC
1229	227	220	2	control
1230	234	240	2	CRC
1231	228	220	2	control
1232	235	241	2	CRC
1233	229	220	2	control
1234	236	241	2	CRC
1235	237	241	2	CRC
1236	238	241	2	CRC
1237	230	221	2	control
1238	239	241	2	CRC
1239	240	241	2	CRC
1240	241	241	2	CRC
