,Ratio,Group,cohort
373,0.33962264150943394,CRC,ZellerG_2014
374,0.32786885245901637,control,ZellerG_2014
375,0.2830188679245283,CRC,ZellerG_2014
376,0.03278688524590164,control,ZellerG_2014
377,0.03773584905660377,CRC,ZellerG_2014
378,0.21311475409836064,control,ZellerG_2014
379,0.18867924528301888,CRC,ZellerG_2014
380,0.2786885245901639,control,ZellerG_2014
381,0.1320754716981132,CRC,ZellerG_2014
382,0.36065573770491804,control,ZellerG_2014
383,0.3018867924528302,CRC,ZellerG_2014
384,0.22950819672131148,control,ZellerG_2014
385,0.2641509433962264,CRC,ZellerG_2014
386,0.21311475409836064,control,ZellerG_2014
387,0.11320754716981132,CRC,ZellerG_2014
388,0.3114754098360656,control,ZellerG_2014
389,0.16981132075471697,CRC,ZellerG_2014
390,0.11475409836065574,control,ZellerG_2014
391,0.09433962264150944,CRC,ZellerG_2014
392,0.22950819672131148,control,ZellerG_2014
393,0.1509433962264151,CRC,ZellerG_2014
394,0.08196721311475409,control,ZellerG_2014
395,0.07547169811320754,CRC,ZellerG_2014
396,0.2786885245901639,control,ZellerG_2014
397,0.20754716981132076,CRC,ZellerG_2014
398,0.21311475409836064,control,ZellerG_2014
399,0.1509433962264151,CRC,ZellerG_2014
400,0.06557377049180328,control,ZellerG_2014
401,0.07547169811320754,CRC,ZellerG_2014
402,0.08196721311475409,control,ZellerG_2014
403,0.03773584905660377,CRC,ZellerG_2014
404,0.4098360655737705,control,ZellerG_2014
405,0.3018867924528302,CRC,ZellerG_2014
406,0.13114754098360656,control,ZellerG_2014
407,0.1320754716981132,CRC,ZellerG_2014
408,0.18032786885245902,control,ZellerG_2014
409,0.11320754716981132,CRC,ZellerG_2014
410,0.04918032786885246,control,ZellerG_2014
411,0.0,CRC,ZellerG_2014
412,0.4918032786885246,control,ZellerG_2014
413,0.37735849056603776,CRC,ZellerG_2014
414,0.7377049180327869,control,ZellerG_2014
415,0.5660377358490566,CRC,ZellerG_2014
416,0.4098360655737705,control,ZellerG_2014
417,0.1509433962264151,CRC,ZellerG_2014
418,0.6557377049180327,control,ZellerG_2014
419,0.24528301886792453,CRC,ZellerG_2014
420,0.6065573770491803,control,ZellerG_2014
421,0.39622641509433965,CRC,ZellerG_2014
422,0.2786885245901639,control,ZellerG_2014
423,0.1509433962264151,CRC,ZellerG_2014
424,0.04918032786885246,control,ZellerG_2014
425,0.0,CRC,ZellerG_2014
426,0.01639344262295082,control,ZellerG_2014
427,0.018867924528301886,CRC,ZellerG_2014
428,0.16393442622950818,control,ZellerG_2014
429,0.1320754716981132,CRC,ZellerG_2014
430,0.01639344262295082,control,ZellerG_2014
431,0.018867924528301886,CRC,ZellerG_2014
432,0.13114754098360656,control,ZellerG_2014
433,0.07547169811320754,CRC,ZellerG_2014
434,0.04918032786885246,control,ZellerG_2014
